0;0;
0.2;23.6390708149;
0.4;58.2644509286;
0.6;30.3925105504;
0.8;21.1234149479;
1.0;22.3724345772;
1.2;23.6125810087;
1.4;24.9017815531;
1.6;26.1136356665;
1.8;27.3164291382;
2.0;28.4677513342;
2.2;26.2912838616;
2.4;21.7435995086;
2.6;22.9841754085;
2.8;24.1132840034;
3.0;25.3295022614;
3.2;26.5114567861;
3.4;27.8403055472;
3.6;28.9183723683;
3.8;29.6602900212;
4.0;20.6324934461;
4.2;20.6465650413;
4.4;20.6522094317;
4.6;20.6448253727;
4.8;20.654032053;
5.0;20.6462060058;
5.2;21.3452051668;
5.4;20.7784940035;
5.6;20.9951903171;
5.8;21.1973375204;
6.0;21.5688625971;
6.2;21.8211140375;
6.4;22.167139366;
6.6;22.5486171691;
6.8;22.8692471981;
7.0;21.4772420771;
7.2;21.2799882101;
7.4;21.8067081248;
7.6;22.3093847188;
7.8;22.8265096744;
8.0;23.1225253141;
8.2;23.4327958555;
8.4;22.7687491839;
8.6;20.6328115346;
8.8;20.6720948718;
9.0;21.329478784;
9.2;22.2404200183;
9.4;23.0321630103;
9.6;23.8514822357;
9.8;24.8539721071;
10.0;21.0589071115;
10.2;22.064811305;
10.4;22.9799083022;
10.6;23.7389385946;
10.8;23.9146427232;
11.0;24.7426513782;
11.2;25.7784929432;
11.4;25.7331470805;
11.6;20.6775783021;
11.8;20.6444619163;
12.0;20.6532802582;
12.2;20.6451040086;
12.4;20.6827891707;
12.6;20.683080431;
12.8;21.2228307999;
13.0;20.8160818116;
13.2;21.2186510632;
13.4;21.5690038642;
13.6;21.9249696148;
13.8;22.2523616206;
14.0;22.3385085983;
14.2;23.2179917273;
14.4;20.6711119221;
14.6;20.6418891012;
14.8;20.6456359552;
15.0;20.6358868057;
15.2;20.6350824697;
15.4;20.6546269781;
15.6;21.15241112;
15.8;20.6453673175;
16.0;20.6405572377;
16.2;20.6472125512;
16.4;20.6364086696;
16.6;20.6366859467;
16.8;20.6658604704;
17.0;21.8351315479;
17.2;21.7902807542;
17.4;23.0706779324;
17.6;24.3048361506;
17.8;25.1807715177;
18.0;26.0461748863;
18.2;27.2514731063;
18.4;28.2975969982;
18.6;29.5514890838;
18.8;23.0236382627;
19.0;20.614391373;
19.2;20.6316777917;
19.4;20.6290256639;
19.6;20.6291912997;
19.8;20.6405596478;
20.0;21.2101996955;
20.2;20.6393789948;
20.4;20.6398772427;
20.6;20.6395567966;
20.8;20.6401395232;
21.0;20.6544616905;
21.2;20.6434210141;
21.4;21.1936419572;
21.6;20.6458933097;
21.8;20.6341407111;
22.0;20.6291220052;
22.2;20.6376924988;
22.4;20.6439515038;
22.6;20.6366920867;
22.8;21.2063355879;
23.0;20.6483063361;
23.2;20.6403121475;
23.4;20.6598018913;
23.6;20.6340107459;
23.8;20.6402072057;
24.0;20.6505144285;
24.2;21.2145352069;
24.4;20.6265810157;
24.6;20.636057466;
24.8;20.6522065766;
25.0;20.6462854316;
25.2;20.6394779439;
