0;0;0;1;1;1;
0;0;1;0;0;1;
0.2;0;203;0.2;0;203;
0.4;0;207;0.4;0;207;
0.6;0;259;0.6;0;259;
0.8;0;252;0.8;0;252;
1.0;0;245;1.0;0;245;
1.2;0;245;1.2;0;245;
1.4;0;246;1.4;0;246;
1.6;0;247;1.6;0;247;
1.8;0;249;1.8;0;249;
2.0;0;247;2.0;0;247;
2.2;0;248;2.2;0;248;
2.4;0;245;2.4;0;245;
2.6;0;246;2.6;0;246;
2.8;0;250;2.8;0;250;
3.0;0;245;3.0;0;245;
3.2;0;241;3.2;0;241;
3.4;0;247;3.4;0;247;
3.6;0;244;3.6;0;244;
3.8;0;250;3.8;0;250;
4.0;0;239;4.0;0;239;
4.2;0;235;4.2;0;235;
4.4;0;242;4.4;0;242;
4.6;0;239;4.6;0;239;
4.8;0;243;4.8;0;243;
5.0;0;239;5.0;0;239;
5.2;0;191;5.2;0;191;
5.4;0;171;5.4;0;171;
5.6;0;260;5.6;0;260;
5.8;0;245;5.8;0;245;
6.0;0;240;6.0;0;240;
6.2;0;242;6.2;0;242;
6.4;0;243;6.4;0;243;
6.6;0;243;6.6;0;243;
6.8;0;248;6.8;0;248;
7.0;0;247;7.0;0;247;
7.2;0;243;7.2;0;243;
7.4;0;244;7.4;0;244;
7.6;0;243;7.6;0;243;
7.8;0;242;7.8;0;242;
8.0;0;241;8.0;0;241;
8.2;0;246;8.2;0;246;
8.4;0;247;8.4;0;247;
8.6;0;244;8.6;0;244;
8.8;0;237;8.8;0;237;
9.0;0;243;9.0;0;243;
9.2;0;244;9.2;0;244;
9.4;0;245;9.4;0;245;
9.6;0;246;9.6;0;246;
9.8;0;249;9.8;0;249;
10.0;0;240;10.0;0;240;
10.2;0;250;10.2;0;250;
10.4;0;245;10.4;0;245;
10.6;0;242;10.6;0;242;
10.8;0;247;10.8;0;247;
11.0;0;244;11.0;0;244;
11.2;0;247;11.2;0;247;
11.4;0;244;11.4;0;244;
11.6;0;245;11.6;0;245;
11.8;0;248;11.8;0;248;
12.0;0;250;12.0;0;250;
12.2;0;241;12.2;0;241;
12.4;0;244;12.4;0;244;
12.6;0;251;12.6;0;251;
12.8;0;244;12.8;0;244;
13.0;0;241;13.0;0;241;
13.2;0;242;13.2;0;242;
13.4;0;246;13.4;0;246;
13.6;0;247;13.6;0;247;
13.8;0;246;13.8;0;246;
14.0;0;250;14.0;0;250;
14.2;0;243;14.2;0;243;
14.4;0;246;14.4;0;246;
14.6;0;244;14.6;0;244;
14.8;0;242;14.8;0;242;
15.0;0;242;15.0;0;242;
15.2;0;244;15.2;0;244;
15.4;0;249;15.4;0;249;
15.6;0;247;15.6;0;247;
15.8;0;243;15.8;0;243;
16.0;0;241;16.0;0;241;
16.2;0;242;16.2;0;242;
16.4;0;244;16.4;0;244;
16.6;0;248;16.6;0;248;
16.8;0;243;16.8;0;243;
17.0;0;245;17.0;0;245;
17.2;0;245;17.2;0;245;
17.4;0;247;17.4;0;247;
17.6;0;251;17.6;0;251;
17.8;0;243;17.8;0;243;
18.0;0;245;18.0;0;245;
18.2;0;244;18.2;0;244;
18.4;0;244;18.4;0;244;
18.6;0;247;18.6;0;247;
18.8;0;251;18.8;0;251;
19.0;0;245;19.0;0;245;
19.2;0;246;19.2;0;246;
19.4;0;246;19.4;0;246;
19.6;0;242;19.6;0;242;
19.8;0;240;19.8;0;240;
20.0;0;238;20.0;0;238;
20.2;0;242;20.2;0;242;
20.4;0;246;20.4;0;246;
20.6;0;242;20.6;0;242;
20.8;0;251;20.8;0;251;
21.0;0;241;21.0;0;241;
21.2;0;241;21.2;0;241;
21.4;0;244;21.4;0;244;
21.6;0;243;21.6;0;243;
21.8;0;243;21.8;0;243;
22.0;0;245;22.0;0;245;
22.2;0;244;22.2;0;244;
22.4;0;236;22.4;0;236;
22.6;0;240;22.6;0;240;
22.8;0;243;22.8;0;243;
23.0;0;241;23.0;0;241;
23.2;0;242;23.2;0;242;
23.4;0;242;23.4;0;242;
23.6;0;242;23.6;0;242;
23.8;0;246;23.8;0;246;
24.0;0;239;24.0;0;239;
24.2;0;244;24.2;0;244;
24.4;0;239;24.4;0;239;
24.6;0;245;24.6;0;245;
24.8;0;245;24.8;0;245;
25.0;0;247;25.0;0;247;
25.2;0;245;25.2;0;245;
